system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CEC,EVI,Evap_tavg,GNDVI,K_proxy,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,N,NDVI,NDVI_class,NDWI,P_proxy,QA10,QA20,QA60,Rainf_tavg,SAVI,SCL,SOC,SoilMoi0_10cm_inst,TCI_B,TCI_G,TCI_R,Tair_f_inst,WVP,aspect,bulk_density,clay,elevation,latitude,longitude,pH,sand,silt,slope,.geo
1150_0,0.024914732,0.038044695,0.16546579,0.0996013,0.046581324,0.07338592,0.065795325,0.11178983,0.22036728,0.25163397,0.26177686,0.2739903,0.27897432,175,0.37481488434900767,2.590739E-5,0.5620879,251.89999999999998,0.0,0.0,0.0,0.0,0.0,1196,0.598285,2,-0.5620879,202.0,0.0,0.0,0.0,2.7655415E-5,0.3552225576086484,4.0E-4,169,19.527725,0.004858565,0.0075822314,0.006830496,297.04773,0.16873178,90.0,151,275,250,31.13336195937232,75.91437887273047,78,427,298,0.06772098,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.91437887273047,31.13336195937232]}"
1151_0,0.025398726,0.045486707,0.18107182,0.112405874,0.05550148,0.08446005,0.073631845,0.12960793,0.23329145,0.26271045,0.2716471,0.28542474,0.29093927,206,0.381627255696937,2.330664E-5,0.5256481,312.2,0.0,0.0,0.0,1.1557209E-5,0.0,1435,0.57349354,2,-0.5256481,207.8,0.0,0.0,0.0,2.3367818E-5,0.3513903647163725,4.1475927E-4,143,18.093313,0.0057479795,0.0087082125,0.0075771264,298.2157,0.18039086,-0.0,145,317,248,30.32038662724415,76.14344927018094,79,271,412,0.23187147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.14344927018094,30.32038662724415]}"
1152_0,0.027106509,0.04204608,0.18264048,0.11292563,0.053174544,0.08276109,0.07185932,0.13046947,0.24206801,0.27578077,0.28426844,0.29876772,0.3030405,166,0.4033241856769789,2.1544189E-5,0.5490222,276.1,0.0,0.0,0.0,1.0872555E-5,0.0,1202,0.5964408,2,-0.5490222,176.0,0.0,0.0,0.0,2.1283002E-5,0.37215669073294705,4.180102E-4,114,17.112267,0.0054970095,0.008544035,0.007407925,298.4703,0.17840903,90.0,146,286,241,30.248521404514587,75.93234517841286,80,341,373,0.06710337,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.93234517841286,30.248521404514587]}"
1153_0,0.029625515,0.03674143,0.20644215,0.13757144,0.054545626,0.08372738,0.07916927,0.1367573,0.25243774,0.28805354,0.2948109,0.30813444,0.3086966,144,0.39618611079601634,1.5994618E-5,0.5576279,232.2,0.0,0.0,0.0,7.880719E-6,0.0,1406,0.5766125,2,-0.5576279,156.9,0.0,0.0,0.0,1.5618425E-5,0.3701027091812468,4.257797E-4,105,15.168708,0.0056228493,0.00863796,0.008144762,299.54977,0.178417,330.0492,146,252,211,29.803855338875426,75.24064240964083,80,454,294,0.13380527,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.24064240964083,29.803855338875426]}"
1154_0,0.023313923,0.04748993,0.2003044,0.13131428,0.06273357,0.09337966,0.09003157,0.14362122,0.23542586,0.25961602,0.27048045,0.28187945,0.29161263,132,0.3366161291489076,2.2639817E-5,0.48672768,265.6,0.0,0.0,0.0,5.546962E-5,0.0,1079,0.500535,2,-0.48672768,166.1,0.0,0.0,0.0,2.2339327E-5,0.31454914673255824,4.5872421E-4,106,17.946106,0.006509903,0.009604177,0.009207033,298.49774,0.1857026,-0.0,148,289,240,29.880212138025584,76.3949775497344,83,344,368,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.3949775497344,29.880212138025584]}"
1155_0,0.02528152,0.04550901,0.1834304,0.114921324,0.056247305,0.08533337,0.075461335,0.13106818,0.2335908,0.2625001,0.2715618,0.28510758,0.2908721,208,0.37639966613036474,2.3126904E-5,0.5218015,334.59999999999997,0.0,0.0,0.0,1.5339981E-5,0.0,1393,0.56509334,2,-0.5218015,214.2,0.0,0.0,0.0,2.3145929E-5,0.3472758725361341,4.193456E-4,125,18.037458,0.005826034,0.008795539,0.007759456,298.26495,0.18076433,180.0,146,367,248,30.26648771019698,76.15692399944274,80,215,418,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.15692399944274,30.26648771019698]}"
1156_0,0.028429208,0.038489338,0.20151424,0.13569643,0.056684814,0.086235896,0.083433375,0.13843423,0.24632372,0.278558,0.28636748,0.300004,0.30222666,150,0.3725389004572117,1.8448094E-5,0.53711694,243.5,0.0,0.0,0.0,1.7671986E-5,0.0,1229,0.5487659,2,-0.53711694,168.0,0.0,0.0,0.0,1.7835835E-5,0.3499664912649695,4.4319406E-4,111,15.97787,0.0058543673,0.008885232,0.008570499,299.10895,0.17706858,90.0,144,275,222,29.812838491716622,75.75717369800955,80,431,295,0.066809155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.75717369800955,29.812838491716622]}"
1157_0,0.024360858,0.045646187,0.20028317,0.13177316,0.06138819,0.091859534,0.08846696,0.14253362,0.23790881,0.26389605,0.27416417,0.28604552,0.29431197,150,0.3452764750283899,2.179823E-5,0.49806783,257.8,0.0,0.0,0.0,4.808349E-5,0.0,1164,0.51208293,2,-0.49806783,164.39999999999998,0.0,0.0,0.0,2.142695E-5,0.32290258307127834,4.554803E-4,126,17.536915,0.006364575,0.009451713,0.009055367,298.61697,0.1839683,270.0,147,238,234,29.87122898518439,76.26472183353708,81,370,392,0.066847816,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.26472183353708,29.87122898518439]}"
1158_0,0.027818222,0.040473174,0.18608212,0.11668508,0.05304663,0.08280764,0.073166646,0.13197064,0.24529925,0.2800339,0.2882795,0.30285472,0.3064319,190,0.40452094494231783,2.0537575E-5,0.5537025,274.3,0.0,0.0,0.0,1.16903375E-5,0.0,1332,0.595145,2,-0.5537025,179.89999999999998,0.0,0.0,0.0,2.0127034E-5,0.37456698414985573,4.2291067E-4,123,16.645697,0.0054798485,0.008549345,0.007541842,298.646,0.17760961,229.15186,146,268,234,30.15868987610264,75.84251365000091,79,365,367,0.08862866,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.84251365000091,30.15868987610264]}"
1159_0,0.024537638,0.045441452,0.17265499,0.104941405,0.053017505,0.08062234,0.068430595,0.121883616,0.22377788,0.2523014,0.26134703,0.27487236,0.2801224,220,0.3784755054371391,2.502063E-5,0.5284821,320.6,0.0,0.0,0.0,0.0,0.0,1263,0.5849894,2,-0.5284821,212.3,0.0,0.0,0.0,2.5953997E-5,0.3487375877212126,4.0E-4,141,19.047293,0.0055004233,0.008314882,0.0070580156,297.69183,0.17647329,180.0,143,326,261,30.612339094582996,76.19734818722812,77,260,414,0.17390402,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.19734818722812,30.612339094582996]}"
1160_0,0.023059288,0.050224233,0.18046431,0.11430202,0.05933115,0.08710523,0.077304885,0.12849213,0.21960838,0.24220426,0.2515664,0.26421288,0.27097082,169,0.34292322340152526,2.5637333E-5,0.48560658,306.1,0.0,0.0,0.0,1.0030384E-5,0.0,1385,0.5298776,2,-0.48560658,200.60000000000002,0.0,0.0,0.0,2.618862E-5,0.31535931999596367,4.104026E-4,126,19.485647,0.0061585065,0.008961808,0.007933214,297.89966,0.18288201,180.0,147,346,255,30.39225184997371,76.43091016109919,78,264,390,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.43091016109919,30.39225184997371]}"
1161_0,0.02920858,0.0373502,0.19728361,0.13083081,0.05445109,0.08394068,0.079201505,0.13576785,0.24848996,0.28310388,0.29051608,0.30484727,0.30616504,142,0.38920659618170256,1.8248305E-5,0.5516669,233.70000000000002,0.0,0.0,0.0,9.800699E-6,0.0,1522,0.57155675,2,-0.5516669,158.70000000000002,0.0,0.0,0.0,1.7619066E-5,0.36445378016929414,4.349914E-4,104,15.778946,0.0056182207,0.008657498,0.008151118,299.0912,0.17568274,-0.0,150,261,222,29.898178443707977,75.662850593177,81,451,289,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.662850593177,29.898178443707977]}"
1162_0,0.023925003,0.042674888,0.17015825,0.103298895,0.05019066,0.07687871,0.06642751,0.11665419,0.217551,0.2461761,0.25577804,0.26842922,0.27374685,168,0.3704292064482192,2.5672234E-5,0.5377896,267.59999999999997,0.0,0.0,0.0,0.0,0.0,1149,0.58767,2,-0.5377896,205.4,0.0,0.0,0.0,2.7545284E-5,0.34544379638282463,4.0E-4,169,19.553999,0.0052198675,0.0079312455,0.006863676,297.24005,0.17042328,180.0,148,291,268,30.805476880668692,76.17938188154572,77,373,336,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.17938188154572,30.805476880668692]}"
1163_0,0.02407963,0.047957424,0.18248579,0.11498232,0.057994064,0.08653787,0.076865025,0.13033132,0.22689776,0.25256285,0.26188242,0.27490115,0.2814054,215,0.35908497829244657,2.4374785E-5,0.50325584,341.3,0.0,0.0,0.0,1.4823137E-5,0.0,1277,0.54618096,2,-0.50325584,230.39999999999998,0.0,0.0,0.0,2.4639443E-5,0.3308816014798768,4.1661682E-4,127,18.752338,0.00601401,0.008911129,0.007894117,298.08777,0.1820783,180.0,149,413,250,30.315895050823553,76.30514602132246,81,215,372,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.30514602132246,30.315895050823553]}"
1164_0,0.028936297,0.037646852,0.20095232,0.13536546,0.055906806,0.08532769,0.08229659,0.1375524,0.24728647,0.2804254,0.2879207,0.30183116,0.30329692,155,0.3773198909427181,1.8109517E-5,0.5427834,236.2,0.0,0.0,0.0,1.3176437E-5,0.0,1207,0.5554147,2,-0.5427834,162.3,0.0,0.0,0.0,1.747887E-5,0.35443582713143906,4.4049713E-4,109,15.809384,0.0057708635,0.008794049,0.008459155,299.1516,0.17616905,-0.0,147,256,223,29.821821644557815,75.69429162812118,79,453,291,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.69429162812118,29.821821644557815]}"
1165_0,0.029971808,0.03652351,0.19982539,0.13101602,0.05286708,0.08206798,0.075885944,0.1343476,0.2529123,0.29037097,0.2972055,0.31103113,0.31177428,125,0.4080321078932994,1.658252E-5,0.5672359,221.5,0.0,0.0,0.0,8.182608E-6,0.0,1480,0.5932046,2,-0.5672359,140.2,0.0,0.0,0.0,1.6105716E-5,0.3802343326541955,4.2368486E-4,93,15.208983,0.005448738,0.008473845,0.007819005,299.385,0.17738967,229.08066,150,229,216,29.90716159654917,75.2990329031086,79,464,308,0.08850153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.2990329031086,29.90716159654917]}"
1166_0,0.02168088,0.044948433,0.17173862,0.106871754,0.052034713,0.077205695,0.06816843,0.11467447,0.20339304,0.22678493,0.23679417,0.24817581,0.2542675,176,0.33576220097639986,2.7162521E-5,0.5082438,273.9,0.0,0.0,0.0,0.0,0.0,1209,0.55293906,2,-0.5082438,210.7,0.0,0.0,0.0,3.0160638E-5,0.31422405419787436,4.0E-4,198,20.693544,0.0054226145,0.007949056,0.0070220307,296.8214,0.16731279,113.24012,145,255,278,30.80996845708929,76.44438489036098,76,349,397,0.14690876,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.44438489036098,30.80996845708929]}"
1167_0,0.021103743,0.043076523,0.17027742,0.10568893,0.049864206,0.07428475,0.06598781,0.11097786,0.19830664,0.22185118,0.23221539,0.24301675,0.24915513,182,0.33135223136590697,2.7535576E-5,0.515271,251.29999999999998,0.0,0.0,0.0,0.0,0.0,1861,0.55743057,2,-0.515271,205.70000000000002,0.0,0.0,0.0,3.1373E-5,0.31237831249413117,4.0E-4,197,21.049011,0.0052049756,0.007649569,0.0068037626,296.47357,0.16199438,229.37225,143,236,273,30.913274714763034,76.46235119604337,68,423,341,0.089025356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.46235119604337,30.913274714763034]}"
